Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
R Ashwin ,26,47,37,2,0,70.27,2,v Australia,Sydney,26-02-2012
GJ Maxwell ,26,-,19,5,0,136.84,1,v India,Melbourne,18-01-2019
MS Dhoni ,25*,35,23,2,0,108.69,2,v Australia,Nagpur,30-10-2013
KD Karthik ,25*,33,14,2,0,178.57,2,v Australia,Adelaide,15-01-2019
RT Ponting ,25,58,57,3,0,43.85,2,v India,Guwahati,08-11-2009
CL White ,25,58,48,0,0,52.08,2,v India,Guwahati,08-11-2009
SR Watson ,25,39,38,5,0,65.78,1,v India,Ahmedabad,24-03-2011
MG Johnson ,25,25,31,1,1,80.64,1,v India,Ranchi,23-10-2013
DA Warner ,25,47,28,2,0,89.28,2,v India,Chennai,17-09-2017
RA Jadeja ,24*,48,27,1,0,88.88,2,v Australia,Canberra,20-01-2016
MS Dhoni ,24,97,77,1,0,31.16,1,v Australia,Guwahati,08-11-2009
V Kohli ,24,38,33,1,0,72.72,2,v Australia,Ahmedabad,24-03-2011
DT Christian ,24,45,32,2,0,75,1,v India,Sydney,26-02-2012
BJ Haddin ,24,19,16,2,1,150,2,v India,Mohali,19-10-2013
DA Warner ,24,41,22,3,0,109.09,2,v India,Melbourne,18-01-2015
KM Jadhav ,24,36,24,2,1,100,1,v Australia,Kolkata,21-09-2017
AT Carey ,24,43,31,5,0,77.41,1,v India,Sydney,12-01-2019
AT Rayudu ,24,47,36,2,0,66.66,2,v Australia,Adelaide,15-01-2019
AC Voges ,23*,19,21,4,0,109.52,2,v India,Guwahati,08-11-2009
JP Faulkner ,23*,40,29,1,0,79.31,1,v India,Ranchi,23-10-2013
Yuvraj Singh ,23,24,24,2,1,95.83,1,v Australia,Nagpur,28-10-2009
CL White ,23,55,42,3,0,54.76,2,v India,Nagpur,28-10-2009
RA Jadeja ,23,24,17,3,0,135.29,2,v Australia,Hyderabad (Deccan),05-11-2009
G Gambhir ,23,68,48,3,0,47.91,2,v Australia,Sydney,26-02-2012
PJ Hughes ,23,54,33,2,0,69.69,2,v India,Bengaluru,02-11-2013
AT Rayudu ,23,26,24,2,1,95.83,1,v Australia,Sydney,26-01-2015
GJ Maxwell ,23,17,14,3,1,164.28,1,v India,Sydney,26-03-2015
MS Dhoni ,23,23,9,2,2,255.55,1,v Australia,Melbourne,17-01-2016
GJ Bailey ,23,23,21,3,0,109.52,2,v India,Melbourne,17-01-2016
S Dhawan ,23,-,46,0,0,50,2,v Australia,Melbourne,18-01-2019
IK Pathan ,22,25,22,1,2,100,2,v Australia,Sydney,26-02-2012
PJ Hughes ,22,50,40,4,0,55,2,v India,Mohali,19-10-2013
JP Faulkner ,21*,47,25,1,0,84,2,v India,Melbourne,17-01-2016
SE Marsh ,21,25,21,1,1,100,2,v India,Nagpur,28-10-2009
MG Johnson ,21,26,19,2,1,110.52,2,v India,Nagpur,28-10-2009
RG Sharma ,21,34,21,2,0,100,2,v Australia,Melbourne,05-02-2012
V Kohli ,21,36,27,2,0,77.77,2,v Australia,Sydney,26-02-2012
JP Faulkner ,21,20,12,3,1,175,1,v India,Sydney,26-03-2015
AJ Finch ,21,30,23,3,0,91.3,2,v India,Melbourne,17-01-2016
V Kohli ,21,23,21,3,0,100,2,v Australia,Bengaluru,28-09-2017
UT Khawaja ,21,40,23,3,0,91.3,1,v India,Adelaide,15-01-2019
V Sehwag ,20,38,21,3,0,95.23,2,v Australia,Adelaide,12-02-2012
AJ Finch ,20,47,28,3,0,71.42,1,v India,Nagpur,30-10-2013
GJ Maxwell ,20,34,23,1,1,86.95,2,v India,Melbourne,18-01-2015
