Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
RJ Harris ,10,0,57,1,5.7,2,v India,Adelaide,12-02-2012
GS Sandhu ,10,0,58,1,5.8,1,v India,Melbourne,18-01-2015
HH Pandya ,10,0,58,1,5.8,1,v Australia,Indore,24-09-2017
NM Coulter-Nile ,10,0,58,1,5.8,2,v India,Indore,24-09-2017
PJ Cummins ,10,0,59,1,5.9,2,v India,Bengaluru,28-09-2017
JA Richardson ,10,0,59,1,5.9,2,v India,Adelaide,15-01-2019
JP Faulkner ,7,0,60,1,8.57,2,v India,Jaipur,16-10-2013
I Sharma ,10,0,60,1,6,2,v Australia,Brisbane,15-01-2016
MP Stoinis ,9.2,0,60,1,6.42,2,v India,Melbourne,18-01-2019
Harbhajan Singh ,10,0,62,1,6.2,2,v Australia,Nagpur,28-10-2009
I Sharma ,8,1,63,1,7.87,2,v Australia,Mohali,19-10-2013
JP Faulkner ,10,0,63,1,6.3,1,v India,Melbourne,18-01-2015
JP Faulkner ,10,0,63,1,6.3,1,v India,Melbourne,17-01-2016
A Zampa ,9,0,63,1,7,2,v India,Bengaluru,28-09-2017
SM Boland ,10,0,64,1,6.4,1,v India,Brisbane,15-01-2016
JP Faulkner ,10,0,65,1,6.5,1,v India,Mohali,19-10-2013
Mohammed Shami ,8,1,66,1,8.25,1,v Australia,Nagpur,30-10-2013
A Zampa ,10,0,66,1,6.6,1,v India,Chennai,17-09-2017
JP Faulkner ,10,1,67,1,6.7,1,v India,Chennai,17-09-2017
R Vinay Kumar ,9,1,68,1,7.55,1,v Australia,Pune,13-10-2013
AC Agar ,10,0,71,1,7.1,2,v India,Indore,24-09-2017
BW Hilfenhaus ,10,0,72,1,7.2,2,v India,Hyderabad (Deccan),05-11-2009
JP Faulkner ,9.3,0,73,1,7.68,2,v India,Nagpur,30-10-2013
SR Watson ,8,0,74,1,9.25,1,v India,Mohali,19-10-2013
UT Yadav ,10,0,74,1,7.4,2,v Australia,Brisbane,15-01-2016
R Dhawan ,10,0,74,1,7.4,1,v Australia,Sydney,23-01-2016
DE Bollinger ,10,0,75,1,7.5,2,v India,Hyderabad (Deccan),05-11-2009
JP Faulkner ,10,0,75,1,7.5,1,v India,Bengaluru,02-11-2013
NM Lyon ,10,0,76,1,7.6,2,v India,Canberra,20-01-2016
MR Marsh ,9.4,0,77,1,7.96,2,v India,Sydney,23-01-2016
A Nehra ,10,0,79,1,7.9,1,v Australia,Hyderabad (Deccan),05-11-2009
UT Yadav ,8,0,82,1,10.25,1,v Australia,Sydney,23-01-2016
BW Hilfenhaus ,10,0,83,1,8.3,1,v India,Nagpur,28-10-2009
CJ McKay ,10,0,89,1,8.9,1,v India,Bengaluru,02-11-2013
R Vinay Kumar ,9,0,102,1,11.33,2,v Australia,Bengaluru,02-11-2013
AJ Finch ,0.1,0,1,0,6,2,v India,Bengaluru,28-09-2017
AJ Finch ,1,0,2,0,2,1,v India,Bengaluru,02-11-2013
JP Faulkner ,1,0,2,0,2,1,v India,Sydney,26-01-2015
GJ Maxwell ,1,0,2,0,2,2,v India,Indore,24-09-2017
SK Raina ,1,0,3,0,3,2,v Australia,Nagpur,28-10-2009
AC Voges ,1,0,3,0,3,1,v India,Mohali,19-10-2013
AC Voges ,2,0,4,0,2,1,v India,Guwahati,08-11-2009
V Kohli ,1,0,4,0,4,1,v Australia,Melbourne,05-02-2012
SK Raina ,1,0,4,0,4,1,v Australia,Melbourne,05-02-2012
V Kohli ,1,0,6,0,6,1,v Australia,Ahmedabad,24-03-2011
DJ Hussey ,2,0,7,0,3.5,2,v India,Sydney,26-02-2012
V Kohli ,1,0,7,0,7,1,v Australia,Sydney,26-03-2015
V Kohli ,1,0,7,0,7,2,v Australia,Brisbane,15-01-2016
GJ Maxwell ,1,0,7,0,7,2,v India,Melbourne,18-01-2019
SK Raina ,1,0,8,0,8,1,v Australia,Centurion,28-09-2009
V Sehwag ,2,0,8,0,4,2,v Australia,Guwahati,08-11-2009
SK Raina ,1,0,9,0,9,1,v Australia,Vadodara,25-10-2009
SR Tendulkar ,2,0,9,0,4.5,1,v Australia,Ahmedabad,24-03-2011
JR Hopes ,2,0,10,0,5,2,v India,Vadodara,25-10-2009
P Kumar ,2,0,10,0,5,2,v Australia,Guwahati,08-11-2009
MG Johnson ,2.1,0,10,0,4.61,2,v India,Ranchi,23-10-2013
XJ Doherty ,3,0,10,0,3.33,1,v India,Sydney,26-01-2015
GJ Maxwell ,1,0,10,0,10,2,v India,Canberra,20-01-2016
SR Tendulkar ,0.5,0,11,0,13.2,2,v Australia,Guwahati,08-11-2009
MJ Clarke ,2,0,11,0,5.5,2,v India,Melbourne,05-02-2012
RG Sharma ,1,0,11,0,11,2,v Australia,Perth,12-01-2016
TM Head ,2,0,11,0,5.5,1,v India,Kolkata,21-09-2017
V Kohli ,1,0,12,0,12,1,v Australia,Pune,13-10-2013
Yuvraj Singh ,1,0,12,0,12,1,v Australia,Ranchi,23-10-2013
MR Marsh ,2,0,12,0,6,1,v India,Melbourne,17-01-2016
AC Voges ,1,0,13,0,13,2,v India,Delhi,31-10-2009
DJ Hussey ,3,0,13,0,4.33,2,v India,Adelaide,12-02-2012
CJ McKay ,2,0,13,0,6.5,2,v India,Ranchi,23-10-2013
V Kohli ,2,0,13,0,6.5,2,v Australia,Perth,12-01-2016
AT Rayudu ,2,0,13,0,6.5,1,v Australia,Sydney,12-01-2019
GJ Maxwell ,2,0,14,0,7,1,v India,Melbourne,18-01-2015
PM Siddle ,5,2,15,0,3,2,v India,Mohali,02-11-2009
RG Sharma ,2,0,15,0,7.5,1,v Australia,Adelaide,12-02-2012
V Kohli ,2,0,15,0,7.5,1,v Australia,Nagpur,30-10-2013
P Kumar ,5,1,16,0,3.2,1,v Australia,Delhi,31-10-2009
SPD Smith ,2,0,16,0,8,2,v India,Canberra,20-01-2016
SK Raina ,2,0,17,0,8.5,1,v Australia,Nagpur,30-10-2013
Gurkeerat Singh ,2,0,17,0,8.5,1,v Australia,Sydney,23-01-2016
AJ Finch ,3,0,17,0,5.66,2,v India,Nagpur,01-10-2017
SK Raina ,3,0,18,0,6,1,v Australia,Visakhapatnam,20-10-2010
V Kohli ,1,0,18,0,18,2,v Australia,Mohali,19-10-2013
GJ Maxwell ,5,0,18,0,3.6,2,v India,Sydney,26-03-2015
GJ Maxwell ,2,0,18,0,9,2,v India,Sydney,12-01-2019
AC Voges ,3,0,19,0,6.33,2,v India,Hyderabad (Deccan),05-11-2009
NM Hauritz ,9,2,19,0,2.11,1,v India,Guwahati,08-11-2009
MJ Clarke ,3,0,19,0,6.33,2,v India,Ahmedabad,24-03-2011
Yuvraj Singh ,3,0,20,0,6.66,2,v Australia,Mohali,19-10-2013
SPD Smith ,2,0,20,0,10,2,v India,Sydney,23-01-2016
MP Stoinis ,4,0,20,0,5,2,v India,Nagpur,01-10-2017
A Nehra ,3,0,21,0,7,2,v Australia,Guwahati,08-11-2009
GJ Maxwell ,3,0,22,0,7.33,1,v India,Perth,12-01-2016
SPD Smith ,3,0,23,0,7.66,2,v India,Visakhapatnam,20-10-2010
V Shankar ,6,0,23,0,3.83,1,v Australia,Melbourne,18-01-2019
I Sharma ,5,0,24,0,4.8,1,v Australia,Delhi,31-10-2009
SK Raina ,2,0,24,0,12,2,v Australia,Melbourne,18-01-2015
Gurkeerat Singh ,3,0,24,0,8,1,v Australia,Canberra,20-01-2016
JR Hazlewood ,5,0,25,0,5,1,v India,Sydney,26-01-2015
DE Bollinger ,10,0,26,0,2.6,2,v India,Delhi,31-10-2009
MEK Hussey ,3,0,26,0,8.66,2,v India,Hyderabad (Deccan),05-11-2009
SR Watson ,5,0,26,0,5.2,1,v India,Bengaluru,02-11-2013
RA Jadeja ,7,0,27,0,3.85,1,v Australia,Mohali,02-11-2009
Gurkeerat Singh ,5,0,27,0,5.4,2,v Australia,Melbourne,17-01-2016
RJ Harris ,5,0,28,0,5.6,2,v India,Melbourne,05-02-2012
IK Pathan ,5,1,28,0,5.6,1,v Australia,Sydney,26-02-2012
Yuvraj Singh ,7,1,29,0,4.14,2,v Australia,Guwahati,08-11-2009
XJ Doherty ,10,0,29,0,2.9,2,v India,Brisbane,19-02-2012
SR Watson ,4,0,29,0,7.25,2,v India,Sydney,26-03-2015
PJ Cummins ,7,1,29,0,4.14,2,v India,Nagpur,01-10-2017
JD Unadkat ,6,0,31,0,5.16,1,v Australia,Ranchi,23-10-2013
GJ Maxwell ,4,0,32,0,8,1,v India,Bengaluru,02-11-2013
HH Pandya ,5,0,32,0,6.4,1,v Australia,Bengaluru,28-09-2017
AC Voges ,5,0,33,0,6.6,1,v India,Nagpur,28-10-2009
MC Henriques ,7,0,33,0,4.71,2,v India,Mohali,02-11-2009
SR Watson ,8,0,33,0,4.12,1,v India,Melbourne,18-01-2015
GJ Maxwell ,6,0,33,0,5.5,1,v India,Brisbane,15-01-2016
R Dhawan ,6,0,33,0,5.5,2,v Australia,Melbourne,17-01-2016
P Kumar ,8,0,34,0,4.25,1,v Australia,Centurion,28-09-2009
MP Stoinis ,4.5,0,34,0,7.03,2,v India,Bengaluru,28-09-2017
A Zampa ,10,0,34,0,3.4,2,v India,Melbourne,18-01-2019
P Kumar ,7,0,35,0,5,1,v Australia,Melbourne,05-02-2012
Yuvraj Singh ,4,0,35,0,8.75,1,v Australia,Jaipur,16-10-2013
KM Jadhav ,6,0,35,0,5.83,1,v Australia,Melbourne,18-01-2019
Yuvraj Singh ,7,0,36,0,5.14,1,v Australia,Hyderabad (Deccan),05-11-2009
RA Jadeja ,10,1,36,0,3.6,2,v Australia,Guwahati,08-11-2009
JP Faulkner ,5.5,0,37,0,6.34,2,v India,Nagpur,01-10-2017
SK Raina ,8,0,38,0,4.75,1,v Australia,Ranchi,23-10-2013
TM Head ,6,0,38,0,6.33,2,v India,Bengaluru,28-09-2017
TM Head ,6,0,38,0,6.33,2,v India,Nagpur,01-10-2017
Yuvraj Singh ,8,0,39,0,4.87,2,v Australia,Nagpur,28-10-2009
JJ Bumrah ,7,1,39,0,5.57,2,v Australia,Kolkata,21-09-2017
XJ Doherty ,6,0,40,0,6.66,2,v India,Nagpur,30-10-2013
GJ Maxwell ,7,0,40,0,5.71,2,v India,Nagpur,30-10-2013
PM Siddle ,10,0,41,0,4.1,2,v India,Delhi,31-10-2009
P Kumar ,9.2,0,41,0,4.39,1,v Australia,Mohali,02-11-2009
MG Johnson ,8,0,41,0,5.12,2,v India,Ahmedabad,24-03-2011
RA Jadeja ,2.4,0,41,0,15.37,1,v Australia,Melbourne,05-02-2012
B Kumar ,7,2,41,0,5.85,1,v Australia,Pune,13-10-2013
I Sharma ,5,0,42,0,8.4,1,v Australia,Mohali,02-11-2009
B Kumar ,9,0,42,0,4.66,2,v Australia,Perth,12-01-2016
NM Hauritz ,5,0,43,0,8.6,2,v India,Hyderabad (Deccan),05-11-2009
